
show ip bgp summary
neighbor,as,updown,state,
10.254.9.14,64512,06:05:15,14,
10.254.9.26,64512,06:05:26,10,
10.254.9.66,64512,06:05:20,4,
10.254.9.74,64512,06:05:19,21,
10.254.9.98,64512,06:05:26,17,
10.254.9.110,64512,06:05:18,2,
10.254.9.146,64512,06:05:18,8,
10.254.9.154,64512,06:05:18,8,
192.168.233.2,64513,06:05:53,241,
192.168.234.1,64513,06:05:50,191,
192.168.234.2,64513,06:05:46,191,
192.168.240.15,64513,02:45:51,3,
192.168.240.16,64513,02:46:06,3,

show cdp neigh
device_id,local_intrfce,holdtme,capability_platform,platform,port_id,
RT55DP11HRTN.dps.com,Tunnel751,178,R I,ASR1001,Tunnel155,
RT55DP11HRTN.dps.com,Tunnel752,134,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel732,149,R I,ASR1001,Tunnel1155,
rt73dp11m5tn.dps.com,Tunnel731,159,R I,ASR1001,Tunnel155,

show ip bgp neighbors 10.13.64.201 advertised-routes
network,next_hop,metric,locprf,weight,path,
B,10.252.147.160/29,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.168/29,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.176/29,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.184/29,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.192/30,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.196/30,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.200/30,[200/0],192.168.234.1,06:04:43,,
B,10.252.147.204/30,[200/0],192.168.234.1,06:04:43,,
B,10.253.0.195/32,[200/0],192.168.233.2,06:04:43,,
B,10.253.128.128/26,[200/0],192.168.234.1,06:04:43,,
B,10.253.128.192/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.128.195/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.128.196/32,[200/0],192.168.234.2,06:04:43,,
B,10.253.128.197/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.129.80/28,[200/0],192.168.234.1,06:04:43,,
B,10.253.129.128/27,[200/0],192.168.234.1,06:04:43,,
B,10.253.130.80/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.130.81/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.130.88/29,[200/0],192.168.234.1,06:04:43,,
B,10.253.160.0/26,[200/0],192.168.234.1,06:04:43,,
B,10.253.160.64/27,[200/0],192.168.234.1,06:04:43,,
B,10.253.161.0/27,[200/0],192.168.234.1,06:04:43,,
B,10.253.165.0/27,[200/0],192.168.234.1,06:04:43,,
B,10.253.170.1/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.170.2/32,[200/0],192.168.234.1,06:04:43,,
B,10.253.171.0/29,[200/0],192.168.234.1,06:04:43,,
B,10.253.171.8/29,[200/0],192.168.234.1,06:04:43,,
B,10.254.9.100/30,[200/0],192.168.233.2,06:04:43,,
B,10.254.13.152/30,[20/0],10.254.9.98,06:04:25,,
B,10.254.126.36/30,[200/0],192.168.233.2,06:04:43,,
B,10.254.135.0/30,[200/0],192.168.234.1,06:04:43,,
B,10.254.135.4/30,[200/0],192.168.234.2,06:04:43,,
B,10.254.136.80/28,[200/0],192.168.234.1,06:04:43,,
B,10.254.136.96/30,[200/0],192.168.234.1,06:04:43,,
B,10.254.136.100/30,[200/0],192.168.234.2,06:04:43,,
B,192.168.212.1/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.2/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.3/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.4/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.8/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.11/32,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.132/30,[20/0],10.254.9.98,06:04:25,,
B,192.168.212.196/30,[20/0],10.254.9.98,06:04:25,,
B,192.168.236.246,[200/0],192.168.234.1,06:04:43,,
B,192.168.236.249,[200/0],192.168.234.1,06:04:43,,
